Datetime,USGS_flow
2016-11-10,1345.8334
2016-11-11,1342.7084
2016-11-12,1344.7916
2016-11-13,1343.4375
2016-11-14,1341.1459
2016-11-15,1364.375
2016-11-16,1387.8125
2016-11-17,1415.7291
2016-11-18,1376.875
2016-11-19,1376.875
2016-11-20,1379.1666
2016-11-21,1380.4166
2016-11-22,1387.8125
2016-11-23,1386.7709
2016-11-24,1385.2084
2016-11-25,1385.8334
2016-11-26,1381.3541
2016-11-27,1383.75
2016-11-28,1383.3334
2016-11-29,1384.4791
2016-11-30,1381.6666
2016-12-01,1370.3125
2016-12-02,1462.1875
2016-12-03,1520.9375
2016-12-04,1583.0209
2016-12-05,1645.3125
2016-12-06,1685.0
2016-12-07,1738.125
2016-12-08,1793.9584
2016-12-09,1854.8959
2016-12-10,1895.0
2016-12-11,1904.8959
2016-12-12,1905.0
2016-12-13,1819.375
2016-12-14,1908.0209
2016-12-15,1907.8125
2016-12-16,1899.8959
2016-12-17,1990.625
2016-12-18,1890.4166
2016-12-19,1925.5209
2016-12-20,1886.875
2016-12-21,1899.7916
2016-12-22,1899.8959
2016-12-23,1955.3125
2016-12-24,1910.0
2016-12-25,1888.2291
2016-12-26,1884.7916
2016-12-27,1918.75
2016-12-28,1893.125
2016-12-29,1896.1459
2016-12-30,1872.5
2016-12-31,1878.75
2017-01-01,1964.375
2017-01-02,1913.9584
2017-01-03,1908.2291
2017-01-04,1905.7291
2017-01-05,1902.9166
2017-01-06,1926.3541
2017-01-07,1963.8541
2017-01-08,1965.625
2017-01-09,1909.2709
2017-01-10,1911.3541
2017-01-11,1918.2291
2017-01-12,1916.0416
2017-01-13,1916.4584
2017-01-14,1993.75
2017-01-15,1914.4791
2017-01-16,1899.5834
2017-01-17,1966.5625
2017-01-18,1941.1459
2017-01-19,1930.0
2017-01-20,1933.4375
2017-01-21,1947.1875
2017-01-22,1922.3959
2017-01-23,1927.0834
2017-01-24,1919.8959
2017-01-25,1932.3959
2017-01-26,1925.4166
2017-01-27,1911.3541
2017-01-28,1948.125
2017-01-29,1916.875
2017-01-30,1930.625
2017-01-31,1932.0834
2017-02-01,1921.25
2017-02-02,1914.4791
2017-02-03,1915.2084
2017-02-04,1913.125
2017-02-05,1914.2709
2017-02-06,2045.1041
2017-02-07,1793.75
2017-02-08,1928.2291
2017-02-09,1927.8125
2017-02-10,1927.8125
2017-02-11,1930.8334
2017-02-12,1930.5209
2017-02-13,1930.8334
2017-02-14,1919.0625
2017-02-15,1924.4791
2017-02-16,1959.5834
2017-02-17,2012.5
2017-02-18,2058.4375
2017-02-19,2114.6875
2017-02-20,2149.7917
2017-02-21,2204.8958
2017-02-22,2265.0
2017-02-23,2305.1042
2017-02-24,2361.5625
2017-02-25,2324.7917
2017-02-26,2487.1875
2017-02-27,2538.0208
2017-02-28,2589.5833
2017-03-01,2713.125
2017-03-02,2940.1042
2017-03-03,3123.5417
2017-03-04,3130.0
2017-03-05,3135.0
2017-03-06,3131.1458
2017-03-07,3490.9375
2017-03-08,4110.4165
2017-03-09,4709.5835
2017-03-10,4715.521
2017-03-11,4701.25
2017-03-12,4698.75
2017-03-13,4692.604
2017-03-14,4690.2085
2017-03-15,4681.875
2017-03-16,4675.729
2017-03-17,4672.5
2017-03-18,4668.9585
2017-03-19,4666.354
2017-03-20,4665.521
2017-03-21,4669.271
2017-03-22,4670.0
2017-03-23,4670.4165
2017-03-24,4664.1665
2017-03-25,4659.7915
2017-03-26,4656.6665
2017-03-27,5441.0415
2017-03-28,6817.9165
2017-03-29,6812.604
2017-03-30,7599.2783
2017-03-31,8895.9375
2017-04-01,8884.792
2017-04-02,8883.125
2017-04-03,8888.542
2017-04-04,8883.4375
2017-04-05,8869.0625
2017-04-06,8851.1455
2017-04-07,8886.3545
2017-04-08,8881.5625
2017-04-09,8885.3125
2017-04-10,8849.583
2017-04-11,8864.792
2017-04-12,8868.2295
2017-04-13,8875.833
2017-04-14,8877.917
2017-04-15,8888.8545
2017-04-16,8870.9375
2017-04-17,8894.583
2017-04-18,8881.9795
2017-04-19,8889.167
2017-04-20,8881.5625
2017-04-21,8883.125
2017-04-22,8870.417
2017-04-23,8880.625
2017-04-24,8896.9795
2017-04-25,8892.6045
2017-04-26,8884.167
2017-04-27,8889.2705
2017-04-28,8860.7295
2017-04-29,8884.0625
2017-04-30,8896.875
2017-05-01,8882.292
2017-05-02,8896.875
2017-05-03,8904.375
2017-05-04,8893.4375
2017-05-05,8905.5205
2017-05-06,8914.8955
2017-05-07,8915.1045
2017-05-08,8926.5625
2017-05-09,8919.4795
2017-05-10,8913.333
2017-05-11,8770.1045
2017-05-12,7154.375
2017-05-13,7167.8125
2017-05-14,7157.8125
2017-05-15,7163.5415
2017-05-16,7157.5
2017-05-17,7139.479
2017-05-18,7145.521
2017-05-19,7138.854
2017-05-20,7131.771
2017-05-21,7137.9165
2017-05-22,7132.604
2017-05-23,7119.5835
2017-05-24,7115.9375
2017-05-25,7102.604
2017-05-26,7092.9165
2017-05-27,7127.604
2017-05-28,7129.1665
2017-05-29,7122.604
2017-05-30,7123.229
2017-05-31,7122.396
2017-06-01,7124.375
2017-06-02,7121.146
2017-06-03,7115.3125
2017-06-04,7112.396
2017-06-05,7744.271
2017-06-06,8558.958
2017-06-07,8554.792
2017-06-08,8553.0205
2017-06-09,8558.0205
2017-06-10,8554.4795
2017-06-11,8560.5205
2017-06-12,8538.2295
2017-06-13,8563.542
2017-06-14,8552.292
2017-06-15,8528.4375
2017-06-16,8525.0
2017-06-17,8526.1455
2017-06-18,8524.4795
2017-06-19,8514.0625
2017-06-20,8421.3545
2017-06-21,6672.604
2017-06-22,7396.354
2017-06-23,8520.625
2017-06-24,8512.1875
2017-06-25,8521.458
2017-06-26,8484.2705
2017-06-27,8507.6045
2017-06-28,8513.333
2017-06-29,8518.6455
2017-06-30,8522.292
2017-07-01,8508.958
2017-07-02,8489.167
2017-07-03,8504.6875
2017-07-04,8509.0625
2017-07-05,8121.5625
2017-07-06,7141.25
2017-07-07,6115.729
2017-07-08,5130.9375
2017-07-09,3744.1667
2017-07-10,2744.6875
2017-07-11,2410.4167
2017-07-12,2387.2917
2017-07-13,2509.1667
2017-07-14,2516.5625
2017-07-15,2524.7917
2017-07-16,2541.7708
2017-07-17,2539.375
2017-07-18,2547.9167
2017-07-19,2573.8542
2017-07-20,2561.0417
2017-07-21,2560.3125
2017-07-22,2571.25
2017-07-23,2548.6458
2017-07-24,2545.0
2017-07-25,2541.3542
2017-07-26,2550.4167
2017-07-27,2528.6458
2017-07-28,2527.7083
2017-07-29,2509.1667
2017-07-30,2501.5625
2017-07-31,2454.1667
2017-08-01,2489.0625
2017-08-02,2485.3125
2017-08-03,2484.6875
2017-08-04,2475.2083
2017-08-05,2468.0208
2017-08-06,2471.9792
2017-08-07,2456.4583
2017-08-08,2464.8958
2017-08-09,2468.4375
2017-08-10,2471.0417
2017-08-11,2469.8958
2017-08-12,2471.25
2017-08-13,2471.3542
2017-08-14,2474.0625
2017-08-15,2478.8542
2017-08-16,2471.0417
2017-08-17,2471.0417
2017-08-18,2470.3125
2017-08-19,2467.0833
2017-08-20,2464.375
2017-08-21,2463.4375
2017-08-22,2465.2083
2017-08-23,2464.1667
2017-08-24,2454.1667
2017-08-25,2464.0625
2017-08-26,2464.6875
2017-08-27,2225.6355
2017-08-28,1912.75
2017-08-29,1624.3438
2017-08-30,1783.5938
2017-08-31,2010.3125
2017-09-01,2431.4583
2017-09-02,2511.25
2017-09-03,2468.75
2017-09-04,2468.9583
2017-09-05,2475.625
2017-09-06,2229.0625
2017-09-07,2200.3125
2017-09-08,2465.9375
2017-09-09,2465.2083
2017-09-10,2464.5833
2017-09-11,2465.3125
2017-09-12,2465.625
2017-09-13,2468.5417
2017-09-14,2475.625
2017-09-15,2476.25
2017-09-16,2473.6458
2017-09-17,2469.8958
2017-09-18,2472.2917
2017-09-19,2468.4375
2017-09-20,2473.3333
2017-09-21,2471.1458
2017-09-22,2470.625
2017-09-23,2470.8333
2017-09-24,2475.8333
2017-09-25,2472.0833
2017-09-26,2469.8958
2017-09-27,2437.7083
2017-09-28,2467.9167
2017-09-29,2477.8125
2017-09-30,2472.2917
2017-10-01,2473.4375
2017-10-02,2477.1875
2017-10-03,2503.75
2017-10-04,2519.2708
2017-10-05,2485.3125
2017-10-06,2473.5417
2017-10-07,2478.9583
2017-10-08,2336.7708
2017-10-09,1938.9584
2017-10-10,1718.3334
2017-10-11,1610.8334
2017-10-12,1612.6041
2017-10-13,1614.0625
2017-10-14,1616.0416
2017-10-15,1613.3334
2017-10-16,1614.5834
2017-10-17,1614.7916
2017-10-18,1617.7084
2017-10-19,1611.9791
2017-10-20,1620.0
2017-10-21,1620.1041
2017-10-22,1616.3541
2017-10-23,1618.75
2017-10-24,1609.5521
2017-10-25,1635.7291
2017-10-26,1654.7916
2017-10-27,1635.7291
2017-10-28,1637.2916
2017-10-29,1637.0834
2017-10-30,1635.7291
2017-10-31,1619.7916
2017-11-01,1619.2709
2017-11-02,1618.2291
2017-11-03,1617.8125
2017-11-04,1618.9584
2017-11-05,1619.4791
2017-11-06,1619.8959
2017-11-07,1619.8959
2017-11-08,1633.5416
2017-11-09,1647.2916
2017-11-10,1725.625
2017-11-11,2084.4792
2017-11-12,2358.5417
2017-11-13,2683.125
2017-11-14,2867.8125
2017-11-15,2873.8542
2017-11-16,2879.8958
2017-11-17,2872.7083
2017-11-18,2870.2083
2017-11-19,2879.6875
2017-11-20,2887.6042
2017-11-21,2921.1458
2017-11-22,2919.375
2017-11-23,2921.9792
2017-11-24,2920.3125
2017-11-25,2920.9375
2017-11-26,2920.9375
2017-11-27,2923.75
2017-11-28,2916.0417
2017-11-29,2919.5833
2017-11-30,2917.8125
2017-12-01,2915.1042
2017-12-02,2919.2708
2017-12-03,2925.1042
2017-12-04,2918.0208
2017-12-05,2921.7708
2017-12-06,2921.0417
2017-12-07,2920.1042
2017-12-08,2921.7708
2017-12-09,2920.7292
2017-12-10,2922.7083
2017-12-11,2923.75
2017-12-12,2921.4583
2017-12-13,2921.9792
2017-12-14,2921.3542
2017-12-15,2923.125
