Datetime,USGS_flow
2015-01-29,
2015-01-30,
2015-01-31,
2015-02-01,
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,
2015-02-07,48.72059
2015-02-08,49.455208
2015-02-09,46.88646
2015-02-10,49.756252
2015-02-11,42.427082
2015-02-12,50.39375
2015-02-13,48.642708
2015-02-14,53.661457
2015-02-15,54.55625
2015-02-16,43.442707
2015-02-17,63.364285
2015-02-18,
2015-02-19,
2015-02-20,
2015-02-21,
2015-02-22,
2015-02-23,
2015-02-24,
2015-02-25,
2015-02-26,
2015-02-27,
2015-02-28,
2015-03-01,
2015-03-02,
2015-03-03,50.4
2015-03-04,49.040627
2015-03-05,48.236458
2015-03-06,47.857292
2015-03-07,47.482292
2015-03-08,48.5375
2015-03-09,44.54271
2015-03-10,46.30521
2015-03-11,49.94375
2015-03-12,51.222916
2015-03-13,46.74271
2015-03-14,50.291668
2015-03-15,58.81354
2015-03-16,70.063545
2015-03-17,80.7375
2015-03-18,91.4375
2015-03-19,90.91354
2015-03-20,85.725
2015-03-21,99.498955
2015-03-22,104.469795
2015-03-23,101.83333
2015-03-24,87.145836
2015-03-25,90.56875
2015-03-26,77.45937
2015-03-27,98.097916
2015-03-28,116.39375
2015-03-29,135.68437
2015-03-30,146.93333
2015-03-31,167.20833
2015-04-01,181.86458
2015-04-02,151.44792
2015-04-03,126.40625
2015-04-04,132.89688
2015-04-05,132.70312
2015-04-06,127.88646
2015-04-07,117.010414
2015-04-08,107.03958
2015-04-09,103.21042
2015-04-10,101.50625
2015-04-11,106.53854
2015-04-12,116.5625
2015-04-13,107.64479
2015-04-14,130.73958
2015-04-15,133.77083
2015-04-16,122.78125
2015-04-17,116.72708
2015-04-18,115.84583
2015-04-19,125.25
2015-04-20,122.6875
2015-04-21,139.11458
2015-04-22,150.625
2015-04-23,157.71875
2015-04-24,167.375
2015-04-25,179.5
2015-04-26,175.25
2015-04-27,154.69792
2015-04-28,166.98958
2015-04-29,228.66667
2015-04-30,321.2396
2015-05-01,390.9375
2015-05-02,401.35416
2015-05-03,492.45834
2015-05-04,497.8125
2015-05-05,476.6875
2015-05-06,530.32294
2015-05-07,526.1458
2015-05-08,430.28125
2015-05-09,378.6146
2015-05-10,342.21875
2015-05-11,299.28125
2015-05-12,301.9896
2015-05-13,304.1146
2015-05-14,314.79166
2015-05-15,319.5
2015-05-16,309.08334
2015-05-17,300.79166
2015-05-18,328.9479
2015-05-19,307.6146
2015-05-20,303.8646
2015-05-21,313.2396
2015-05-22,316.95834
2015-05-23,296.70834
2015-05-24,280.8125
2015-05-25,324.97916
2015-05-26,363.35416
2015-05-27,353.1979
2015-05-28,495.3646
2015-05-29,475.59375
2015-05-30,452.53125
2015-05-31,617.3333
2015-06-01,849.73956
2015-06-02,936.53125
2015-06-03,908.1875
2015-06-04,794.59375
2015-06-05,775.86456
2015-06-06,740.36456
2015-06-07,756.1042
2015-06-08,699.01044
2015-06-09,743.98956
2015-06-10,733.86456
2015-06-11,897.0208
2015-06-12,830.23956
2015-06-13,770.3542
2015-06-14,744.51044
2015-06-15,687.4375
2015-06-16,768.03125
2015-06-17,710.96875
2015-06-18,627.8333
2015-06-19,562.8542
2015-06-20,490.6979
2015-06-21,402.125
2015-06-22,361.6771
2015-06-23,329.83334
2015-06-24,298.0729
2015-06-25,269.95834
2015-06-26,248.28125
2015-06-27,229.57292
2015-06-28,220.88542
2015-06-29,200.0625
2015-06-30,195.05208
2015-07-01,182.0625
2015-07-02,167.29167
2015-07-03,194.41667
2015-07-04,195.59375
2015-07-05,212.95833
2015-07-06,214.22917
2015-07-07,194.5625
2015-07-08,214.57292
2015-07-09,234.21875
