Datetime,USGS_flow
2017-02-24,19.45
2017-02-25,19.133333
2017-02-26,19.783333
2017-02-27,19.683334
2017-02-28,20.05
2017-03-01,21.683334
2017-03-02,23.216667
2017-03-03,23.566666
2017-03-04,25.566666
2017-03-05,24.0
2017-03-06,24.216667
2017-03-07,21.4
2017-03-08,26.583334
2017-03-09,27.333332
2017-03-10,27.033333
2017-03-11,26.533333
2017-03-12,25.166666
2017-03-13,24.666666
2017-03-14,27.066668
2017-03-15,25.966667
2017-03-16,25.416666
2017-03-17,27.616667
2017-03-18,29.849998
2017-03-19,29.8
2017-03-20,30.366667
2017-03-21,32.766666
2017-03-22,32.633335
2017-03-23,32.016666
2017-03-24,29.35
2017-03-25,31.066668
2017-03-26,30.533333
2017-03-27,31.366667
2017-03-28,31.383333
2017-03-29,30.35
2017-03-30,33.383335
2017-03-31,31.1
2017-04-01,29.266666
2017-04-02,30.5
2017-04-03,31.983334
2017-04-04,30.383333
2017-04-05,33.383335
2017-04-06,54.63333
2017-04-07,72.96667
2017-04-08,86.25
2017-04-09,98.5
2017-04-10,99.03333
2017-04-11,110.5
2017-04-12,146.40475
2017-04-13,169.11458
2017-04-14,231.3125
2017-04-15,241.67708
2017-04-16,243.08333
2017-04-17,277.7396
2017-04-18,304.08334
2017-04-19,321.47916
2017-04-20,316.33334
2017-04-21,309.40625
2017-04-22,289.10416
2017-04-23,315.0104
2017-04-24,356.59375
2017-04-25,321.77084
2017-04-26,295.65625
2017-04-27,286.1354
2017-04-28,273.47916
2017-04-29,252.95833
2017-04-30,247.29167
2017-05-01,253.86458
2017-05-02,265.1979
2017-05-03,260.8646
2017-05-04,285.90625
2017-05-05,378.90625
2017-05-06,417.875
2017-05-07,580.71875
2017-05-08,757.38544
2017-05-09,700.1875
2017-05-10,735.75
2017-05-11,827.3333
2017-05-12,951.125
2017-05-13,1225.625
2017-05-14,1081.75
2017-05-15,886.5833
2017-05-16,795.19794
2017-05-17,704.125
2017-05-18,561.46875
2017-05-19,462.65625
2017-05-20,407.40625
2017-05-21,395.85416
2017-05-22,388.75
2017-05-23,394.66666
2017-05-24,587.6458
2017-05-25,857.38544
2017-05-26,709.75
2017-05-27,603.0625
2017-05-28,625.17706
2017-05-29,735.7708
2017-05-30,812.125
2017-05-31,1031.4584
2017-06-01,1084.75
2017-06-02,1150.6875
2017-06-03,1282.1875
2017-06-04,1306.25
2017-06-05,1356.5625
2017-06-06,1372.7084
2017-06-07,1360.3125
2017-06-08,1387.6041
2017-06-09,1200.3125
2017-06-10,1222.3959
2017-06-11,1203.5416
2017-06-12,1085.2604
2017-06-13,811.90625
2017-06-14,638.86456
2017-06-15,626.78125
2017-06-16,663.25
2017-06-17,829.63544
2017-06-18,834.9375
2017-06-19,799.0208
2017-06-20,733.88544
2017-06-21,759.6042
2017-06-22,711.1042
